pdb_id,author_family_name
1b3c,Krishna
1b3i,Babu
1b3i,Volkman
1b3i,Bullerjahn
1b3p,Kettani
1b3p,Bouaziz
1b3p,Skripkin
1b3p,Majumdar
1b3p,Wang
1b3p,Jones
1b3p,Patel
1b45,Favreau
1b45,Krimm
1b45,Le Gall
1b45,Bobenrieth
1b45,Lamthanh
1b45,Bouet
1b45,Servent
1b45,Molgo
1b45,Menez
1b45,Letourneux
1b45,Lancelin
1b4c,Drohat
1b4c,Tjandra
1b4c,Baldisseri
1b4c,Weber
1b4g,Antz
1b4g,Bauer
1b4g,Kalbacher
1b4g,Frank
1b4g,Covarrubias
1b4g,Kalbitzer
1b4g,Ruppersberg
1b4g,Baukrowitz
1b4g,Fakler
1b4i,Antz
1b4i,Bauer
1b4i,Kalbacher
1b4i,Frank
1b4i,Covarrubias
1b4i,Kalbitzer
1b4i,Ruppersberg
1b4i,Baukrowitz
1b4i,Fakler
1b4m,Lu
1b4m,Lin
1b4m,Tang
1b4m,Ponder
1b4m,Kao
1b4m,Cistola
1b4m,Li
1b4o,Consonni
1b4o,Santomo
1b4o,Fusi
1b4o,Tortora
1b4o,Zetta
1b4q,Yang
1b4q,Jao
1b4q,Nanduri
1b4q,Starke
1b4q,Mieyal
1b4q,Qin
1b4r,Bycroft
1b4r,Bateman
1b4r,Clarke
1b4r,Hamill
1b4r,Sandford
1b4r,Thomas
1b4r,Chothia
1b4y,van Dongen
1b4y,Doreleijers
1b4y,van der Marel
1b4y,van Boom
1b4y,Hilbers
1b4y,Wijmenga
1b50,Czaplewski
1b50,McKeating
1b50,Craven
1b50,Higgins
1b50,Appay
1b50,Brown
1b50,Dudgeon
1b50,Howard
1b50,Meyers
1b50,Owen
1b50,Palan
1b50,Tan
1b50,Wilson
1b50,Woods
1b50,Heyworth
1b50,Lord
1b50,Brotherton
1b50,Christison
1b50,Craig
1b50,Cribbes
1b50,Edwards
1b50,Evans
1b50,Gilbert
1b50,Morgan
1b50,Hunter
1b50,al.
1b53,Czaplewski
1b53,McKeating
1b53,Craven
1b53,Higgins
1b53,Appay
1b53,Brown
1b53,Dudgeon
1b53,Howard
1b53,Meyers
1b53,Owen
1b53,Palan
1b53,Tan
1b53,Wilson
1b53,Woods
1b53,Heyworth
1b53,Lord
1b53,Brotherton
1b53,Christison
1b53,Craig
1b53,Cribbes
1b53,Edwards
1b53,Evans
1b53,Gilbert
1b53,Morgan
1b53,Hunter
1b53,al.
1b5a,Dangi
1b5a,Sarma
1b5a,Yan
1b5a,Banville
1b5a,Guiles
