bmrb_id,author_family_name
529,Roberts
530,Hinck
530,Loh
530,Markley
530,Wang
531,Armitage
531,Handschumacher
531,Harding
531,Heald
532,Armitage
532,Handschumacher
532,Harding
532,Heald
537,Forgac
537,Hunkapiller
537,Richards
537,Yu
538,Forgac
538,Hunkapiller
538,Richards
538,Yu
539,Forgac
539,Hunkapiller
539,Richards
539,Yu
540,Forgac
540,Hunkapiller
540,Richards
540,Yu
541,Forgac
541,Hunkapiller
541,Richards
541,Yu
543,Moore
543,Williams
544,Moore
544,Williams
545,Moore
545,Williams
546,Moore
546,Williams
547,Bax
547,Ikura
547,Kay
548,Pelton
548,Saudek
554,Justice
554,Kline
555,Justice
555,Kline
556,Beckage
556,Frank
556,Inouye
556,Karplus
556,Khait
556,Neuringer
556,Nguyen
556,O'Shea
556,Shoelson
556,Weiss
557,Beckage
557,Frank
557,Inouye
557,Karplus
557,Khait
557,Neuringer
557,Nguyen
557,O'Shea
557,Shoelson
557,Weiss
558,Baillargeon
558,Laskowski
558,Markley
558,Neves
558,Porubcan
558,Santini
559,Baillargeon
559,Laskowski
559,Markley
559,Neves
559,Porubcan
559,Santini
560,Baillargeon
560,Laskowski
560,Markley
560,Neves
560,Porubcan
560,Santini
561,Baillargeon
561,Laskowski
561,Markley
561,Neves
561,Porubcan
561,Santini
562,Baillargeon
562,Laskowski
562,Markley
562,Neves
562,Porubcan
562,Santini
563,Baillargeon
563,Laskowski
563,Markley
563,Neves
563,Porubcan
563,Santini
568,Allerhand
568,Dill
568,Goux
569,Dobson
569,Hoch
569,Poulsen
573,Coleman
573,Pan
595,Carlsson
595,Kumar
595,Lazdunski
595,Moonen
595,Steinmetz
595,Visser
595,Wuthrich
596,Carlsson
596,Kumar
596,Lazdunski
596,Moonen
596,Steinmetz
596,Visser
596,Wuthrich
597,Carlsson
597,Kumar
597,Lazdunski
597,Moonen
597,Steinmetz
597,Visser
597,Wuthrich
598,Carlsson
598,Kumar
598,Lazdunski
598,Moonen
598,Steinmetz
598,Visser
